[Mon Mar 28 11:05:22.743538 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP Parse error:  syntax error, unexpected ')' in /home/dev43/www/laravel-5-2.loc/app/Http/Controllers/HomeController.php on line 30, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743611 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP Stack trace:, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743634 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP   1. {main}() /home/dev43/www/laravel-5-2.loc/public/index.php:0, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743643 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /home/dev43/www/laravel-5-2.loc/public/index.php:54, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743652 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743659 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP   4. Illuminate\\Pipeline\\Pipeline->then() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743667 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP   5. call_user_func:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743675 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP   6. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743682 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP   7. call_user_func:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743690 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP   8. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743697 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP   9. call_user_func_array:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743705 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\CheckForMaintenanceMode->handle() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743713 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP  11. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743720 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP  12. call_user_func:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743728 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP  13. Illuminate\\Foundation\\Http\\Kernel->Illuminate\\Foundation\\Http\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743742 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP  14. Illuminate\\Routing\\Router->dispatch() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:246, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743750 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP  15. Illuminate\\Routing\\Router->dispatchToRoute() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743758 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP  16. Illuminate\\Routing\\Router->findRoute() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Router.php:691, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743765 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP  17. Illuminate\\Routing\\Router->substituteBindings() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Router.php:827, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743772 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP  18. Illuminate\\Routing\\Router->substituteImplicitBindings() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Router.php:844, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:05:22.743779 2016] [:error] [pid 28733] [client 127.0.0.1:41321] PHP  19. Illuminate\\Routing\\Route->signatureParameters() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Router.php:859, referer: http://laravel-5-2.loc/login
